block,tray,row,column,family,original_order,plantID,label_colour
1,1,B,1,F2.03,7,F2.03.001,orange
1,1,G,4,F2.03,26,F2.03.002,orange
1,1,F,5,F2.03,35,F2.03.003,orange
1,1,B,5,F2.03,39,F2.03.004,orange
1,1,A,5,F2.03,40,F2.03.005,orange
1,1,G,6,F2.03,42,F2.03.006,orange
1,1,E,6,F2.03,44,F2.03.007,orange
1,1,C,6,F2.03,46,F2.03.008,orange
1,2,A,8,F2.03,64,F2.03.009,orange
1,2,E,9,F2.03,68,F2.03.010,orange
1,2,H,12,F2.03,89,F2.03.011,orange
1,2,F,12,F2.03,91,F2.03.012,orange
1,2,B,12,F2.03,95,F2.03.013,orange
2,3,H,1,F2.03,97,F2.03.014,orange
2,3,B,1,F2.03,103,F2.03.015,orange
2,3,G,2,F2.03,106,F2.03.016,orange
2,3,D,4,F2.03,125,F2.03.017,orange
2,3,G,5,F2.03,130,F2.03.018,orange
2,4,B,7,F2.03,151,F2.03.019,orange
2,4,F,9,F2.03,163,F2.03.020,orange
2,4,C,9,F2.03,166,F2.03.021,orange
2,4,B,9,F2.03,167,F2.03.022,orange
2,4,D,10,F2.03,173,F2.03.023,orange
2,4,H,11,F2.03,177,F2.03.024,orange
2,4,D,11,F2.03,181,F2.03.025,orange
2,4,G,12,F2.03,186,F2.03.026,orange
3,5,E,1,F2.03,196,F2.03.027,orange
3,5,B,3,F2.03,215,F2.03.028,orange
3,5,A,4,F2.03,224,F2.03.029,orange
3,5,E,6,F2.03,236,F2.03.030,orange
3,5,D,6,F2.03,237,F2.03.031,orange
3,5,B,6,F2.03,239,F2.03.032,orange
3,6,H,7,F2.03,241,F2.03.033,orange
3,6,D,9,F2.03,261,F2.03.034,orange
3,6,B,9,F2.03,263,F2.03.035,orange
3,6,A,10,F2.03,272,F2.03.036,orange
3,6,C,11,F2.03,278,F2.03.037,orange
3,6,B,12,F2.03,287,F2.03.038,orange
3,6,A,12,F2.03,288,F2.03.039,orange
4,7,E,2,F2.03,300,F2.03.040,orange
4,7,D,2,F2.03,301,F2.03.041,orange
4,7,C,2,F2.03,302,F2.03.042,orange
4,7,E,3,F2.03,308,F2.03.043,orange
4,7,D,3,F2.03,309,F2.03.044,orange
4,7,H,4,F2.03,313,F2.03.045,orange
4,8,G,7,F2.03,338,F2.03.046,orange
4,8,G,8,F2.03,346,F2.03.047,orange
4,8,C,8,F2.03,350,F2.03.048,orange
4,8,B,9,F2.03,359,F2.03.049,orange
4,8,H,11,F2.03,369,F2.03.050,orange
4,8,C,11,F2.03,374,F2.03.051,orange
4,8,C,12,F2.03,382,F2.03.052,orange
5,9,E,2,F2.03,396,F2.03.053,orange
5,9,G,3,F2.03,402,F2.03.054,orange
5,9,D,3,F2.03,405,F2.03.055,orange
5,9,H,4,F2.03,409,F2.03.056,orange
5,9,B,4,F2.03,415,F2.03.057,orange
5,9,C,6,F2.03,430,F2.03.058,orange
5,10,G,7,F2.03,434,F2.03.059,orange
5,10,E,7,F2.03,436,F2.03.060,orange
5,10,B,7,F2.03,439,F2.03.061,orange
5,10,E,8,F2.03,444,F2.03.062,orange
5,10,C,10,F2.03,462,F2.03.063,orange
5,10,C,12,F2.03,478,F2.03.064,orange
5,10,B,12,F2.03,479,F2.03.065,orange
6,11,F,1,F2.03,483,F2.03.066,orange
6,11,D,1,F2.03,485,F2.03.067,orange
6,11,F,2,F2.03,491,F2.03.068,orange
6,11,C,4,F2.03,510,F2.03.069,orange
6,11,G,5,F2.03,514,F2.03.070,orange
6,11,F,5,F2.03,515,F2.03.071,orange
6,11,H,6,F2.03,521,F2.03.072,orange
6,12,A,8,F2.03,544,F2.03.073,orange
6,12,G,9,F2.03,546,F2.03.074,orange
6,12,F,9,F2.03,547,F2.03.075,orange
6,12,B,9,F2.03,551,F2.03.076,orange
6,12,G,10,F2.03,554,F2.03.077,orange
6,12,F,12,F2.03,571,F2.03.078,orange
7,13,H,1,F2.03,577,F2.03.079,orange
7,13,G,1,F2.03,578,F2.03.080,orange
7,13,D,1,F2.03,581,F2.03.081,orange
7,13,A,1,F2.03,584,F2.03.082,orange
7,13,F,2,F2.03,587,F2.03.083,orange
7,13,A,2,F2.03,592,F2.03.084,orange
7,13,H,3,F2.03,593,F2.03.085,orange
7,13,D,4,F2.03,605,F2.03.086,orange
7,13,C,4,F2.03,606,F2.03.087,orange
7,14,B,8,F2.03,639,F2.03.088,orange
7,14,D,10,F2.03,653,F2.03.089,orange
7,14,B,11,F2.03,663,F2.03.090,orange
7,14,F,12,F2.03,667,F2.03.091,orange
8,15,D,1,F2.03,677,F2.03.092,orange
8,15,C,1,F2.03,678,F2.03.093,orange
8,15,H,3,F2.03,689,F2.03.094,orange
8,15,G,3,F2.03,690,F2.03.095,orange
8,15,F,3,F2.03,691,F2.03.096,orange
8,15,F,6,F2.03,715,F2.03.097,orange
8,16,C,7,F2.03,726,F2.03.098,orange
8,16,E,8,F2.03,732,F2.03.099,orange
8,16,E,9,F2.03,740,F2.03.100,orange
8,16,G,10,F2.03,746,F2.03.101,orange
8,16,B,11,F2.03,759,F2.03.102,orange
8,16,C,12,F2.03,766,F2.03.103,orange
8,16,A,12,F2.03,768,F2.03.104,orange
9,17,H,1,F2.03,769,F2.03.105,orange
9,17,A,2,F2.03,784,F2.03.106,orange
9,17,C,3,F2.03,790,F2.03.107,orange
9,17,A,3,F2.03,792,F2.03.108,orange
9,17,G,4,F2.03,794,F2.03.109,orange
9,17,A,4,F2.03,800,F2.03.110,orange
9,17,A,5,F2.03,808,F2.03.111,orange
9,18,F,7,F2.03,819,F2.03.112,orange
9,18,C,8,F2.03,830,F2.03.113,orange
9,18,A,8,F2.03,832,F2.03.114,orange
9,18,G,10,F2.03,842,F2.03.115,orange
9,18,E,10,F2.03,844,F2.03.116,orange
9,18,A,12,F2.03,864,F2.03.117,orange
10,19,C,1,F2.03,870,F2.03.118,orange
10,19,D,2,F2.03,877,F2.03.119,orange
10,19,B,2,F2.03,879,F2.03.120,orange
10,19,A,2,F2.03,880,F2.03.121,orange
10,19,H,4,F2.03,889,F2.03.122,orange
10,19,C,4,F2.03,894,F2.03.123,orange
10,19,H,5,F2.03,897,F2.03.124,orange
10,19,F,5,F2.03,899,F2.03.125,orange
10,20,H,8,F2.03,921,F2.03.126,orange
10,20,B,8,F2.03,927,F2.03.127,orange
10,20,F,9,F2.03,931,F2.03.128,orange
10,20,A,9,F2.03,936,F2.03.129,orange
10,20,F,10,F2.03,939,F2.03.130,orange
11,21,H,1,F2.03,961,F2.03.131,orange
11,21,E,1,F2.03,964,F2.03.132,orange
11,21,B,1,F2.03,967,F2.03.133,orange
11,21,A,3,F2.03,984,F2.03.134,orange
11,21,H,5,F2.03,993,F2.03.135,orange
11,21,C,5,F2.03,998,F2.03.136,orange
11,22,E,8,F2.03,1020,F2.03.137,orange
11,22,D,8,F2.03,1021,F2.03.138,orange
11,22,D,9,F2.03,1029,F2.03.139,orange
11,22,A,10,F2.03,1040,F2.03.140,orange
11,22,H,11,F2.03,1041,F2.03.141,orange
11,22,A,11,F2.03,1048,F2.03.142,orange
11,22,B,12,F2.03,1055,F2.03.143,orange
12,23,H,1,F2.03,1057,F2.03.144,orange
12,23,A,2,F2.03,1072,F2.03.145,orange
12,23,H,3,F2.03,1073,F2.03.146,orange
12,23,G,3,F2.03,1074,F2.03.147,orange
12,23,H,6,F2.03,1097,F2.03.148,orange
12,23,D,6,F2.03,1101,F2.03.149,orange
12,23,B,6,F2.03,1103,F2.03.150,orange
12,24,H,7,F2.03,1105,F2.03.151,orange
12,24,G,8,F2.03,1114,F2.03.152,orange
12,24,F,9,F2.03,1123,F2.03.153,orange
12,24,H,10,F2.03,1129,F2.03.154,orange
12,24,A,10,F2.03,1136,F2.03.155,orange
12,24,C,12,F2.03,1150,F2.03.156,orange
13,25,G,2,F2.03,1162,F2.03.157,orange
13,25,E,2,F2.03,1164,F2.03.158,orange
13,25,C,2,F2.03,1166,F2.03.159,orange
13,25,F,5,F2.03,1187,F2.03.160,orange
13,25,G,6,F2.03,1194,F2.03.161,orange
13,25,B,6,F2.03,1199,F2.03.162,orange
13,26,H,9,F2.03,1217,F2.03.163,orange
13,26,G,9,F2.03,1218,F2.03.164,orange
13,26,F,9,F2.03,1219,F2.03.165,orange
13,26,A,9,F2.03,1224,F2.03.166,orange
13,26,E,11,F2.03,1236,F2.03.167,orange
13,26,E,12,F2.03,1244,F2.03.168,orange
13,26,B,12,F2.03,1247,F2.03.169,orange
14,27,A,1,F2.03,1256,F2.03.170,orange
14,27,D,3,F2.03,1269,F2.03.171,orange
14,27,A,3,F2.03,1272,F2.03.172,orange
14,27,D,4,F2.03,1277,F2.03.173,orange
14,27,E,5,F2.03,1284,F2.03.174,orange
14,27,B,5,F2.03,1287,F2.03.175,orange
14,28,A,7,F2.03,1304,F2.03.176,orange
14,28,H,10,F2.03,1321,F2.03.177,orange
14,28,F,10,F2.03,1323,F2.03.178,orange
14,28,H,11,F2.03,1329,F2.03.179,orange
14,28,H,12,F2.03,1337,F2.03.180,orange
14,28,F,12,F2.03,1339,F2.03.181,orange
14,28,B,12,F2.03,1343,F2.03.182,orange
15,29,F,1,F2.03,1347,F2.03.183,orange
15,29,F,2,F2.03,1355,F2.03.184,orange
15,29,F,3,F2.03,1363,F2.03.185,orange
15,29,G,4,F2.03,1370,F2.03.186,orange
15,29,F,4,F2.03,1371,F2.03.187,orange
15,29,B,4,F2.03,1375,F2.03.188,orange
15,29,G,6,F2.03,1386,F2.03.189,orange
15,29,F,6,F2.03,1387,F2.03.190,orange
15,30,F,9,F2.03,1411,F2.03.191,orange
15,30,E,10,F2.03,1420,F2.03.192,orange
15,30,A,10,F2.03,1424,F2.03.193,orange
15,30,G,12,F2.03,1434,F2.03.194,orange
15,30,F,12,F2.03,1435,F2.03.195,orange
1,1,E,1,F2.05,4,F2.05.001,blue
1,1,F,2,F2.05,11,F2.05.002,blue
1,1,A,3,F2.05,24,F2.05.003,blue
1,1,D,4,F2.05,29,F2.05.004,blue
1,1,B,6,F2.05,47,F2.05.005,blue
1,2,G,8,F2.05,58,F2.05.006,blue
1,2,F,9,F2.05,67,F2.05.007,blue
1,2,B,9,F2.05,71,F2.05.008,blue
1,2,H,10,F2.05,73,F2.05.009,blue
1,2,G,10,F2.05,74,F2.05.010,blue
1,2,F,10,F2.05,75,F2.05.011,blue
1,2,E,11,F2.05,84,F2.05.012,blue
1,2,A,11,F2.05,88,F2.05.013,blue
2,3,G,1,F2.05,98,F2.05.014,blue
2,3,F,1,F2.05,99,F2.05.015,blue
2,3,H,3,F2.05,113,F2.05.016,blue
2,3,B,3,F2.05,119,F2.05.017,blue
2,3,B,4,F2.05,127,F2.05.018,blue
2,3,F,5,F2.05,131,F2.05.019,blue
2,3,A,5,F2.05,136,F2.05.020,blue
2,4,E,7,F2.05,148,F2.05.021,blue
2,4,A,10,F2.05,176,F2.05.022,blue
2,4,G,11,F2.05,178,F2.05.023,blue
2,4,F,11,F2.05,179,F2.05.024,blue
2,4,E,11,F2.05,180,F2.05.025,blue
2,4,A,11,F2.05,184,F2.05.026,blue
3,5,D,1,F2.05,197,F2.05.027,blue
3,5,C,1,F2.05,198,F2.05.028,blue
3,5,G,2,F2.05,202,F2.05.029,blue
3,5,A,2,F2.05,208,F2.05.030,blue
3,5,G,3,F2.05,210,F2.05.031,blue
3,5,D,4,F2.05,221,F2.05.032,blue
3,5,H,5,F2.05,225,F2.05.033,blue
3,5,B,5,F2.05,231,F2.05.034,blue
3,6,A,7,F2.05,248,F2.05.035,blue
3,6,G,8,F2.05,250,F2.05.036,blue
3,6,E,10,F2.05,268,F2.05.037,blue
3,6,D,10,F2.05,269,F2.05.038,blue
3,6,B,10,F2.05,271,F2.05.039,blue
4,7,F,2,F2.05,299,F2.05.040,blue
4,7,A,2,F2.05,304,F2.05.041,blue
4,7,C,5,F2.05,326,F2.05.042,blue
4,7,A,6,F2.05,336,F2.05.043,blue
4,8,H,7,F2.05,337,F2.05.044,blue
4,8,A,7,F2.05,344,F2.05.045,blue
4,8,G,9,F2.05,354,F2.05.046,blue
4,8,A,9,F2.05,360,F2.05.047,blue
4,8,F,10,F2.05,363,F2.05.048,blue
4,8,E,10,F2.05,364,F2.05.049,blue
4,8,B,11,F2.05,375,F2.05.050,blue
4,8,E,12,F2.05,380,F2.05.051,blue
4,8,D,12,F2.05,381,F2.05.052,blue
5,9,A,1,F2.05,392,F2.05.053,blue
5,9,H,2,F2.05,393,F2.05.054,blue
5,9,C,2,F2.05,398,F2.05.055,blue
5,9,A,3,F2.05,408,F2.05.056,blue
5,9,G,4,F2.05,410,F2.05.057,blue
5,9,D,5,F2.05,421,F2.05.058,blue
5,10,F,7,F2.05,435,F2.05.059,blue
5,10,C,8,F2.05,446,F2.05.060,blue
5,10,B,8,F2.05,447,F2.05.061,blue
5,10,C,9,F2.05,454,F2.05.062,blue
5,10,D,10,F2.05,461,F2.05.063,blue
5,10,B,11,F2.05,471,F2.05.064,blue
5,10,H,12,F2.05,473,F2.05.065,blue
6,11,B,1,F2.05,487,F2.05.066,blue
6,11,E,2,F2.05,492,F2.05.067,blue
6,11,D,2,F2.05,493,F2.05.068,blue
6,11,A,2,F2.05,496,F2.05.069,blue
6,11,A,3,F2.05,504,F2.05.070,blue
6,11,E,4,F2.05,508,F2.05.071,blue
6,11,D,5,F2.05,517,F2.05.072,blue
6,11,A,6,F2.05,528,F2.05.073,blue
6,12,G,8,F2.05,538,F2.05.074,blue
6,12,H,9,F2.05,545,F2.05.075,blue
6,12,E,11,F2.05,564,F2.05.076,blue
6,12,C,11,F2.05,566,F2.05.077,blue
6,12,H,12,F2.05,569,F2.05.078,blue
7,13,C,1,F2.05,582,F2.05.079,blue
7,13,C,3,F2.05,598,F2.05.080,blue
7,13,A,4,F2.05,608,F2.05.081,blue
7,13,G,5,F2.05,610,F2.05.082,blue
7,13,A,5,F2.05,616,F2.05.083,blue
7,13,D,6,F2.05,621,F2.05.084,blue
7,13,B,6,F2.05,623,F2.05.085,blue
7,14,F,9,F2.05,643,F2.05.086,blue
7,14,A,9,F2.05,648,F2.05.087,blue
7,14,H,10,F2.05,649,F2.05.088,blue
7,14,E,11,F2.05,660,F2.05.089,blue
7,14,D,11,F2.05,661,F2.05.090,blue
7,14,A,12,F2.05,672,F2.05.091,blue
8,15,F,2,F2.05,683,F2.05.092,blue
8,15,D,2,F2.05,685,F2.05.093,blue
8,15,E,3,F2.05,692,F2.05.094,blue
8,15,F,5,F2.05,707,F2.05.095,blue
8,15,C,6,F2.05,718,F2.05.096,blue
8,15,B,6,F2.05,719,F2.05.097,blue
8,16,A,8,F2.05,736,F2.05.098,blue
8,16,G,9,F2.05,738,F2.05.099,blue
8,16,F,9,F2.05,739,F2.05.100,blue
8,16,D,9,F2.05,741,F2.05.101,blue
8,16,H,10,F2.05,745,F2.05.102,blue
8,16,G,12,F2.05,762,F2.05.103,blue
8,16,B,12,F2.05,767,F2.05.104,blue
9,17,F,2,F2.05,779,F2.05.105,blue
9,17,D,2,F2.05,781,F2.05.106,blue
9,17,H,3,F2.05,785,F2.05.107,blue
9,17,G,3,F2.05,786,F2.05.108,blue
9,17,E,3,F2.05,788,F2.05.109,blue
9,17,F,4,F2.05,795,F2.05.110,blue
9,17,B,6,F2.05,815,F2.05.111,blue
9,18,C,7,F2.05,822,F2.05.112,blue
9,18,H,8,F2.05,825,F2.05.113,blue
9,18,C,9,F2.05,838,F2.05.114,blue
9,18,D,10,F2.05,845,F2.05.115,blue
9,18,C,10,F2.05,846,F2.05.116,blue
9,18,B,12,F2.05,863,F2.05.117,blue
10,19,H,1,F2.05,865,F2.05.118,blue
10,19,E,2,F2.05,876,F2.05.119,blue
10,19,C,2,F2.05,878,F2.05.120,blue
10,19,E,3,F2.05,884,F2.05.121,blue
10,19,B,6,F2.05,911,F2.05.122,blue
10,20,H,7,F2.05,913,F2.05.123,blue
10,20,A,7,F2.05,920,F2.05.124,blue
10,20,G,8,F2.05,922,F2.05.125,blue
10,20,F,8,F2.05,923,F2.05.126,blue
10,20,G,9,F2.05,930,F2.05.127,blue
10,20,B,9,F2.05,935,F2.05.128,blue
10,20,E,10,F2.05,940,F2.05.129,blue
10,20,E,12,F2.05,956,F2.05.130,blue
11,21,G,2,F2.05,970,F2.05.131,blue
11,21,F,3,F2.05,979,F2.05.132,blue
11,21,B,4,F2.05,991,F2.05.133,blue
11,21,A,4,F2.05,992,F2.05.134,blue
11,21,E,5,F2.05,996,F2.05.135,blue
11,21,D,6,F2.05,1005,F2.05.136,blue
11,21,B,6,F2.05,1007,F2.05.137,blue
11,22,G,7,F2.05,1010,F2.05.138,blue
11,22,G,9,F2.05,1026,F2.05.139,blue
11,22,E,9,F2.05,1028,F2.05.140,blue
11,22,G,11,F2.05,1042,F2.05.141,blue
11,22,C,11,F2.05,1046,F2.05.142,blue
11,22,H,12,F2.05,1049,F2.05.143,blue
12,23,F,1,F2.05,1059,F2.05.144,blue
12,23,H,2,F2.05,1065,F2.05.145,blue
12,23,C,2,F2.05,1070,F2.05.146,blue
12,23,C,3,F2.05,1078,F2.05.147,blue
12,23,C,6,F2.05,1102,F2.05.148,blue
12,24,G,7,F2.05,1106,F2.05.149,blue
12,24,C,7,F2.05,1110,F2.05.150,blue
12,24,F,8,F2.05,1115,F2.05.151,blue
12,24,A,8,F2.05,1120,F2.05.152,blue
12,24,B,9,F2.05,1127,F2.05.153,blue
12,24,A,9,F2.05,1128,F2.05.154,blue
12,24,G,10,F2.05,1130,F2.05.155,blue
12,24,G,12,F2.05,1146,F2.05.156,blue
13,25,F,1,F2.05,1155,F2.05.157,blue
13,25,C,1,F2.05,1158,F2.05.158,blue
13,25,B,1,F2.05,1159,F2.05.159,blue
13,25,A,1,F2.05,1160,F2.05.160,blue
13,25,D,2,F2.05,1165,F2.05.161,blue
13,25,B,3,F2.05,1175,F2.05.162,blue
13,25,G,4,F2.05,1178,F2.05.163,blue
13,25,D,4,F2.05,1181,F2.05.164,blue
13,25,E,5,F2.05,1188,F2.05.165,blue
13,25,D,6,F2.05,1197,F2.05.166,blue
13,26,A,7,F2.05,1208,F2.05.167,blue
13,26,D,8,F2.05,1213,F2.05.168,blue
13,26,A,11,F2.05,1240,F2.05.169,blue
14,27,H,2,F2.05,1257,F2.05.170,blue
14,27,F,5,F2.05,1283,F2.05.171,blue
14,27,D,6,F2.05,1293,F2.05.172,blue
14,27,A,6,F2.05,1296,F2.05.173,blue
14,28,H,7,F2.05,1297,F2.05.174,blue
14,28,E,8,F2.05,1308,F2.05.175,blue
14,28,H,9,F2.05,1313,F2.05.176,blue
14,28,D,9,F2.05,1317,F2.05.177,blue
14,28,A,9,F2.05,1320,F2.05.178,blue
14,28,B,10,F2.05,1327,F2.05.179,blue
14,28,C,11,F2.05,1334,F2.05.180,blue
14,28,D,12,F2.05,1341,F2.05.181,blue
14,28,A,12,F2.05,1344,F2.05.182,blue
15,29,E,3,F2.05,1364,F2.05.183,blue
15,29,D,3,F2.05,1365,F2.05.184,blue
15,29,A,3,F2.05,1368,F2.05.185,blue
15,29,E,6,F2.05,1388,F2.05.186,blue
15,29,B,6,F2.05,1391,F2.05.187,blue
15,30,D,7,F2.05,1397,F2.05.188,blue
15,30,C,7,F2.05,1398,F2.05.189,blue
15,30,B,7,F2.05,1399,F2.05.190,blue
15,30,A,7,F2.05,1400,F2.05.191,blue
15,30,H,9,F2.05,1409,F2.05.192,blue
15,30,D,11,F2.05,1429,F2.05.193,blue
15,30,C,12,F2.05,1438,F2.05.194,blue
15,30,A,12,F2.05,1440,F2.05.195,blue
1,1,D,1,F2.16,5,F2.16.001,green
1,1,G,2,F2.16,10,F2.16.002,green
1,1,E,2,F2.16,12,F2.16.003,green
1,1,G,3,F2.16,18,F2.16.004,green
1,1,F,3,F2.16,19,F2.16.005,green
1,1,E,4,F2.16,28,F2.16.006,green
1,1,H,6,F2.16,41,F2.16.007,green
1,1,F,6,F2.16,43,F2.16.008,green
1,2,H,7,F2.16,49,F2.16.009,green
1,2,G,7,F2.16,50,F2.16.010,green
1,2,C,7,F2.16,54,F2.16.011,green
1,2,E,8,F2.16,60,F2.16.012,green
1,2,A,10,F2.16,80,F2.16.013,green
2,3,E,2,F2.16,108,F2.16.014,green
2,3,G,4,F2.16,122,F2.16.015,green
2,3,C,4,F2.16,126,F2.16.016,green
2,3,H,6,F2.16,137,F2.16.017,green
2,3,F,6,F2.16,139,F2.16.018,green
2,4,A,7,F2.16,152,F2.16.019,green
2,4,D,8,F2.16,157,F2.16.020,green
2,4,C,8,F2.16,158,F2.16.021,green
2,4,A,9,F2.16,168,F2.16.022,green
2,4,F,10,F2.16,171,F2.16.023,green
2,4,H,12,F2.16,185,F2.16.024,green
2,4,F,12,F2.16,187,F2.16.025,green
2,4,D,12,F2.16,189,F2.16.026,green
3,5,H,2,F2.16,201,F2.16.027,green
3,5,F,2,F2.16,203,F2.16.028,green
3,5,B,4,F2.16,223,F2.16.029,green
3,5,F,5,F2.16,227,F2.16.030,green
3,5,C,5,F2.16,230,F2.16.031,green
3,5,F,6,F2.16,235,F2.16.032,green
3,6,G,7,F2.16,242,F2.16.033,green
3,6,F,8,F2.16,251,F2.16.034,green
3,6,B,8,F2.16,255,F2.16.035,green
3,6,F,9,F2.16,259,F2.16.036,green
3,6,C,9,F2.16,262,F2.16.037,green
3,6,G,10,F2.16,266,F2.16.038,green
3,6,E,12,F2.16,284,F2.16.039,green
4,7,E,1,F2.16,292,F2.16.040,green
4,7,C,1,F2.16,294,F2.16.041,green
4,7,F,3,F2.16,307,F2.16.042,green
4,7,A,4,F2.16,320,F2.16.043,green
4,7,F,5,F2.16,323,F2.16.044,green
4,7,G,6,F2.16,330,F2.16.045,green
4,8,B,8,F2.16,351,F2.16.046,green
4,8,A,8,F2.16,352,F2.16.047,green
4,8,F,9,F2.16,355,F2.16.048,green
4,8,G,10,F2.16,362,F2.16.049,green
4,8,G,11,F2.16,370,F2.16.050,green
4,8,D,11,F2.16,373,F2.16.051,green
4,8,A,11,F2.16,376,F2.16.052,green
5,9,D,2,F2.16,397,F2.16.053,green
5,9,B,2,F2.16,399,F2.16.054,green
5,9,F,3,F2.16,403,F2.16.055,green
5,9,E,5,F2.16,420,F2.16.056,green
5,9,A,6,F2.16,432,F2.16.057,green
5,10,C,7,F2.16,438,F2.16.058,green
5,10,F,8,F2.16,443,F2.16.059,green
5,10,D,8,F2.16,445,F2.16.060,green
5,10,G,9,F2.16,450,F2.16.061,green
5,10,E,9,F2.16,452,F2.16.062,green
5,10,A,9,F2.16,456,F2.16.063,green
5,10,F,10,F2.16,459,F2.16.064,green
5,10,G,12,F2.16,474,F2.16.065,green
6,11,C,1,F2.16,486,F2.16.066,green
6,11,A,1,F2.16,488,F2.16.067,green
6,11,G,2,F2.16,490,F2.16.068,green
6,11,G,3,F2.16,498,F2.16.069,green
6,11,B,3,F2.16,503,F2.16.070,green
6,11,F,4,F2.16,507,F2.16.071,green
6,11,E,6,F2.16,524,F2.16.072,green
6,11,D,6,F2.16,525,F2.16.073,green
6,11,B,6,F2.16,527,F2.16.074,green
6,12,H,8,F2.16,537,F2.16.075,green
6,12,E,10,F2.16,556,F2.16.076,green
6,12,C,10,F2.16,558,F2.16.077,green
6,12,D,12,F2.16,573,F2.16.078,green
7,13,B,4,F2.16,607,F2.16.079,green
7,13,H,5,F2.16,609,F2.16.080,green
7,13,F,5,F2.16,611,F2.16.081,green
7,13,E,5,F2.16,612,F2.16.082,green
7,13,H,6,F2.16,617,F2.16.083,green
7,14,F,7,F2.16,627,F2.16.084,green
7,14,C,7,F2.16,630,F2.16.085,green
7,14,F,8,F2.16,635,F2.16.086,green
7,14,G,9,F2.16,642,F2.16.087,green
